f,f2,sample_ID,file_name,bird_ID,id
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 154_1368 2021-10-05 Snap-2074_inv.jpg,Ruff 154_1368 2021-10-05 Snap-2074_inv.jpg,154,Ruff 154_1368 2021-10-05 Snap-2074_inv.jpg,1368,064
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 139_G200073 2021-09-28 Snap-1838_inv.jpg,Ruff 139_G200073 2021-09-28 Snap-1838_inv.jpg,139,Ruff 139_G200073 2021-09-28 Snap-1838_inv.jpg,G200073,065
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 209_1651 2021-10-26 Snap-3036_inv.jpg,Ruff 209_1651 2021-10-26 Snap-3036_inv.jpg,209,Ruff 209_1651 2021-10-26 Snap-3036_inv.jpg,1651,066
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 186_1378 2021-10-28 Snap-3113_inv.jpg,Ruff 186_1378 2021-10-28 Snap-3113_inv.jpg,186,Ruff 186_1378 2021-10-28 Snap-3113_inv.jpg,1378,067
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 137_A059381830 2021-07-20 Snap-1660_inv.jpg,Ruff 137_A059381830 2021-07-20 Snap-1660_inv.jpg,137,Ruff 137_A059381830 2021-07-20 Snap-1660_inv.jpg,A059381830,068
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 168_1341 2021-07-28 Snap-1789_inv.jpg,Ruff 168_1341 2021-07-28 Snap-1789_inv.jpg,168,Ruff 168_1341 2021-07-28 Snap-1789_inv.jpg,1341,069
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 128_A0414175 2021-06-18 Snap-1443_inv.jpg,Ruff 128_A0414175 2021-06-18 Snap-1443_inv.jpg,128,Ruff 128_A0414175 2021-06-18 Snap-1443_inv.jpg,A0414175,070
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 077_1687 2021-06-04 Snap-1099_inv.jpg,Ruff 077_1687 2021-06-04 Snap-1099_inv.jpg,077,Ruff 077_1687 2021-06-04 Snap-1099_inv.jpg,1687,071
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 198_G200065 2021-10-21 Snap-2752_inv.jpg,Ruff 198_G200065 2021-10-21 Snap-2752_inv.jpg,198,Ruff 198_G200065 2021-10-21 Snap-2752_inv.jpg,G200065,072
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/7/Ruff 133_1333 2022-03-09 Snap-3472_inv.jpg,Ruff 133_1333 2022-03-09 Snap-3472_inv.jpg,133,Ruff 133_1333 2022-03-09 Snap-3472_inv.jpg,1333,073
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/1/Ruff 023_1347 2021-05-20 Snap-0858_inv.jpg,Ruff 023_1347 2021-05-20 Snap-0858_inv.jpg,023,Ruff 023_1347 2021-05-20 Snap-0858_inv.jpg,1347,074
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 093_1364 2021-06-10 Snap-1316_inv.jpg,Ruff 093_1364 2021-06-10 Snap-1316_inv.jpg,093,Ruff 093_1364 2021-06-10 Snap-1316_inv.jpg,1364,075
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 170_1380 2021-10-07 Snap-2206_inv.jpg,Ruff 170_1380 2021-10-07 Snap-2206_inv.jpg,170,Ruff 170_1380 2021-10-07 Snap-2206_inv.jpg,1380,076
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 205_1334 2021-10-25 Snap-2902_inv.jpg,Ruff 205_1334 2021-10-25 Snap-2902_inv.jpg,205,Ruff 205_1334 2021-10-25 Snap-2902_inv.jpg,1334,077
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/1/Ruff 026_1682 2021-05-20 Snap-0889_inv.jpg,Ruff 026_1682 2021-05-20 Snap-0889_inv.jpg,026,Ruff 026_1682 2021-05-20 Snap-0889_inv.jpg,1682,078
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 149_1681 2021-10-06 Snap-2087_inv.jpg,Ruff 149_1681 2021-10-06 Snap-2087_inv.jpg,149,Ruff 149_1681 2021-10-06 Snap-2087_inv.jpg,1681,079
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 128_A0414175 2021-06-18 Snap-1445_inv.jpg,Ruff 128_A0414175 2021-06-18 Snap-1445_inv.jpg,128,Ruff 128_A0414175 2021-06-18 Snap-1445_inv.jpg,A0414175,080
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 142_G20005 2021-09-29 Snap-1907_inv.jpg,Ruff 142_G20005 2021-09-29 Snap-1907_inv.jpg,142,Ruff 142_G20005 2021-09-29 Snap-1907_inv.jpg,G20005,081
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 162_AIFA01511 2021-07-28 Snap-1732_inv.jpg,Ruff 162_AIFA01511 2021-07-28 Snap-1732_inv.jpg,162,Ruff 162_AIFA01511 2021-07-28 Snap-1732_inv.jpg,AIFA01511,082
